Video ID,Title,Upload Date,Duration,Duration in s,View Count,Like Count,Comment Count
NHozLQe99oM,Tortoise vs. Hare - Who Wins?,2025-04-26,15M,900,2745174,59664,1485
UvAnYnJDpJc,NO WAY he actually made it 🤯 @gmgolf,2025-04-10,50S,50,105352602,2761264,3523
YJt2E33zEL4,Stranded In Arctic Wilderness | Winter Survival Games,2025-04-05,29M51S,1791,4084256,89787,2953
iL8Hir3KA1c,It just keeps getting crazier 😂,2025-04-03,26S,26,3531170,59002,392
hvyzyQ2M_jo,Sooo THIS JUST HAPPENED 😳  New vid with Caitlin Clark coming soon...,2025-04-01,18S,18,12849833,295300,2574
qxKuw-Q-Xx8,"#wbpartner This was INSANE. Go get tickets for A Minecraft Movie today, only in theaters April 4th!",2025-03-31,2M49S,169,1646413,51666,509
y0ybVeYsiuk,It bent the bat 😱,2025-03-23,44S,44,15250172,415363,537
iKB8StO052g,We Built A 1000 MPH Baseball Cannon,2025-03-22,13M54S,834,4107388,77887,2584
YgqXFkj2pQ4,THE LIQUID NITROGEN ONE 😱 @NickDiGiovanni,2025-03-15,1M,60,6971738,232057,460
pU-kmvzZmqM,Ty aura farming at the end 😂,2025-03-11,37S,37,11457223,544463,1179
lcLpV8vYUg4,REAL or CAKE with Nick DiGiovanni,2025-03-08,25M27S,1527,4862543,102300,3642
5Bw9XjBk8X4,Balloon Pop SHOWDOWN with @howridiculous!,2025-02-27,1M8S,68,1941515,66920,427
jvUX3ocBSCk,20 YouTubers Compete in Biggest Trick Shot Contest Ever!,2025-02-22,29M58S,1798,6629259,145623,4420
AqWjPfz1HEg,First To The Top Wins A Lamborghini,2025-02-08,23M1S,1381,5493093,104765,2951
Zrtz_8k1MTc,Dear Luka...,2025-02-02,24S,24,3147971,155090,1356
MjU2hs-mK2k,Dude Perfect vs Keanu Reeves (150 MPH),2025-01-25,26M28S,1588,5119110,156534,3825
hbq1KsCJT68,Panda got absolutely POSTERIZED 🐼,2025-01-24,48S,48,35253474,1126917,3333
sgC734u0hGI,bro was just doing his routine 😭🙏🏻,2025-01-23,9S,9,115688990,3599331,4243
kObmcOaPcbM,We Built The World's Greatest Office,2025-01-11,14M35S,875,7188377,230573,11041
InWF1xwBw1g,This vid’s gonna bang 💥,2024-12-31,57S,57,2107396,83537,506
Tsejx-oR94c,Cowboy Airsoft Battle Royale,2024-12-28,15M4S,904,5853760,132295,3848
aGfuAjHuMTE,The CRAZIEST Fishing Trip Ever,2024-12-14,14M30S,870,3555078,93003,2026
Z80t7v1ZD8g,Take note ✍️,2024-12-07,37S,37,8761557,471387,1634
_Bj0BecNq10,We tried to break THREE World Records in ONE hour with Jason Kelce 🏈🌭😂 @NFL,2024-12-02,55S,55,1941300,97101,255
qdAeOWlKnrY,Birthday Stereotypes | Dude Perfect,2024-11-30,12M29S,749,5533500,113565,5698
-5jlVEOJaLc,That's how break dancing should be done tbh,2024-11-28,38S,38,11011268,423284,1840
rNcMFBHikKc,Which sports should we do next? 😂,2024-11-21,35S,35,55373053,1770873,9511
L7nuMgfeynw,Average Dude vs. Steph Curry,2024-11-16,24M12S,1452,16861853,382206,10243
ZInkQdVVhe4,Steph Curry's son the next member of Dude Perfect? 😤,2024-11-14,40S,40,2303835,103026,343
lRN6C-8SszU,Which shot went in? 😵‍💫 #StephCurry,2024-11-10,10S,10,17178581,369452,21251
9QXxid7t9oM,We Won Every Game at the State Fair!,2024-11-02,14M43S,883,6968361,118537,2348
OqHfPvYkf9A,Mystery Detective Battle: HALLOWEEN,2024-10-19,29M45S,1785,4986696,104278,3407
uCTsmdDMq0U,Dude Perfect Headquarters is GONE!,2024-10-05,27M54S,1674,8294671,163513,4294
idFpAv9nh9E,Our Longest Trick Shots EVER,2024-09-21,24M25S,1465,9717607,203978,4442
xJa8ydTQl64,Football is BACK! 🏈 Let's kick it off with some tailgating trick shots with @Reeses !,2024-09-17,1M,60,2563260,97974,660
3ODA2VO00y4,Which one was the worst? 🤣,2024-09-16,57S,57,4485964,199871,871
yJ_MS4m4ZnY,CeeDee is SMOOTH with it,2024-09-13,1M,60,3841722,121904,400
N_a1GJWaH70,Dude Perfect vs Mark Rober: Battle Bots,2024-09-07,17M57S,1077,8108506,164145,3956
OqScoVdjq1c,Awkward Stereotypes,2024-08-24,13M41S,821,9746959,158339,4525
xofVzFPxo9I,End of an era 🥺. DPHQ3 reveal COMING SOON!,2024-08-14,21S,21,3278428,141305,2259
lT8O3KleVos,F1 Edition | Dude Perfect,2024-08-10,23M48S,1428,5792303,149244,3611
TL5zPys0ufk,Olympic Mini Games Battle,2024-07-27,16M23S,983,9682874,159773,2971
QwQ_Y4gf2DI,This should be an Olympic sport,2024-07-27,1M,60,3119649,159062,663
ZToieI7hPoM,We Dropped 1000 Basketballs from an Airplane,2024-07-13,18M9S,1089,10207298,181855,5840
YQvm5qxZTBg,The Survivor Games: Island Edition,2024-06-29,31M3S,1863,9328597,147996,3432
jfNUWOpPVr8,Dad Stereotypes,2024-06-15,13M7S,787,12294527,189368,5744
8JcuC348Ibg,Dads be like...,2024-06-12,43S,43,22097925,1068265,3732
SFAt6gfm-xE,Dodgeball Island Battle Royale,2024-06-01,13M3S,783,6609523,127884,3304
7pTwqG9VM7o,Gonna tell my kids this was Spider-Man,2024-05-30,27S,27,68768896,2742356,14060
_BUXTjeKQHk,Australia Bucket List,2024-05-18,29M59S,1799,6482598,149819,4869
7ba_eJicUlU,Dude Wars 2 | OT 45,2024-05-04,25M14S,1514,8105446,160416,4877
eS3zqME3bT4,How it started vs how it’s going,2024-05-01,1M,60,3111983,121949,647
M_7o6tekeXg,"LEGOOOOO! One year ago, the impossible happened.",2024-04-30,36S,36,1973028,91046,621
_J3LCIS3Vz4,We Remade Our 1st Video 15 Years Later,2024-04-20,26M33S,1593,9718291,261139,9670
BlQoJy8J_Q8,Make it or break it! (That last level 🤯),2024-04-16,52S,52,16423371,778430,695
tnb8XcGbYCM,Average Dude vs. MLB Pitcher,2024-04-06,18M38S,1118,14023542,280514,11086
NRj1JJsncIk,"THE WINK AT THE END 💀 Storybook day at the @Formula1 AGP for Ty and the CHAMP, Carlos Sainz!",2024-03-24,59S,59,4264382,215630,663
pykmv7VdBs4,The Tesla Coil Electricity Gun! | OT 43,2024-03-23,25M37S,1537,9685631,179382,3911
dw-kwjzXSsA,Prison Escape Battle,2024-03-09,13M7S,787,11326815,206885,3177
Um1M0hfQsik,HOW did that happen to Ty at the end?!,2024-03-08,51S,51,34394272,1392210,1363
e3d5gMGzbIM,Honestly whoever did it should just own up,2024-02-26,49S,49,4873185,303328,1513
DHe_rLbwsv0,Office Stereotypes | Dude Perfect,2024-02-24,13M18S,798,11045844,188778,4214
bm2xEQT8NDY,Medieval Battle,2024-02-10,14M28S,868,4839983,113908,2633
CGOLDYiVqww,Which level took the longest?? 🏈,2024-02-01,43S,43,15389739,720845,3274
uAiN7BmUjTg,We Put a Rocket in a Football,2024-01-20,14M9S,849,9265778,171298,2951
YyXs2tSxhvs,INSANE ROCKET FOOTBALL THROW 🤯🚀,2024-01-09,27S,27,4212663,206499,944
ASipOm0M8ME,this stuff is CRAZY 🤯,2024-01-07,35S,35,16374706,489683,1272
7-nJBiJROGU,Pet Stereotypes,2024-01-06,9M45S,585,8704386,173062,3819
IeBzNzzFMLI,What was that?!? 🤣🤣 #challenge,2023-12-26,31S,31,3960890,144899,642
rx9JELYVR2M,How did Zach do that?? 🤯🪄,2023-12-22,23S,23,1912065,66969,319
utPN36QqUDk,WHO had the best response? 😂🦉,2023-12-20,45S,45,6470153,297280,2164
ar3gEAT2h28,Mystery Detective Battle,2023-12-16,27M54S,1674,10590082,213457,6912
kW740VeY3Ng,Garrett is fed up 🤣 #challenge,2023-12-14,40S,40,10201411,531574,836
HfjgV9e3_8w,Watch closely… 🫨🪄,2023-12-07,23S,23,11719391,545232,1573
tiLG1wb0vYk,We took the record back 🤠,2023-12-04,43S,43,8542273,454595,1000
okvG6H0UaIs,Top 10 GIFS of ALL TIME | OT 42,2023-12-02,26M8S,1568,8984017,159596,5042
arwjTo-6ChI,Kinda satisfying tbh 😯,2023-11-22,1M,60,11579635,477816,930
gIjJTEJ7soQ,Luckiest Dude Wins,2023-11-18,14M22S,862,15844480,201108,3000
7c0g_CutGRo,Which dude drank the lime juice?? 🫨,2023-11-13,30S,30,7538269,267593,5380
ZIo2qTxj8IY,Punishment Plinko is NASTY 🤢,2023-11-09,38S,38,6142012,221053,601
1j1_P2Tve9g,NECK & NECK 🤯,2023-11-07,1M1S,61,3948672,181780,467
nRYpj14DEvk,Zombie Airsoft Battle Royale,2023-11-04,13M15S,795,14082907,221646,5666
hpkoaG0IvMQ,What an ENDING!!! 🫨,2023-10-25,41S,41,6724371,295354,639
ZVPpl_sV97U,Build a Fort Battle,2023-10-21,14M52S,892,8412676,172552,3780
cA-DTIpVdH0,Down to the WIRE! 🥤,2023-10-13,34S,34,3888419,167393,444
UGz1AbmJIuU,The World's First Square Bike | OT41,2023-10-07,27M18S,1638,13394255,228687,10281
9o__c8wNd3I,Road Trip Stereotypes,2023-09-23,12M7S,727,13029781,232869,6202
IVQ1bPX1m9U,MARK ATE THE BASKETBALL 🤯🏀,2023-09-23,37S,37,29479274,1414205,3797
0xSUlLmlN8k,FREAK Athlete,2023-09-13,47S,47,45031402,2683992,7357
muUL8kOqeyE,Ultimate RC Mini Games Battle,2023-09-09,12M9S,729,16203865,197836,3001
y2Zodskd13I,CAN’T BELIEVE COBY IS AN ASTRONAUT 🚀,2023-08-28,53S,53,52328363,2090282,11673
OPoqBIEvoj0,We Bought a Premier League Team! | OT 40,2023-08-26,22M48S,1368,8351243,184543,4730
QBKR12mIdso,BUZZER BEATER!!! 🚨,2023-08-16,48S,48,12422627,590895,1633
aB2wvo7PEq4,Angry Birds in Real Life,2023-08-12,10M58S,658,9403712,186983,3440
kd-ABokZCkA,The Survivor Games,2023-07-29,21M25S,1285,15573157,278900,5626
Q_eXhFMjBgA,Golf World Records with Rory McIlroy,2023-07-15,12M5S,725,7735266,171267,3203
cvY4ZLAe07E,Is Sparky a psychopath for tying shoes like this???,2023-07-10,43S,43,14917495,680095,8243
eFmpqhvedt8,"$50,000 Crystal Treasure Hunt",2023-07-01,13M58S,838,11618101,203342,3476
gvO45dfota4,Who else wants to try this? 🤯💎,2023-06-27,20S,20,94205185,3163783,14457
Y2xfYQ5sV8A,Dudes vs Fans 2v2 👀,2023-06-19,1M,60,9818771,405261,906
Nt240HomM7U,We Made a REAL Plasma Blaster | OT39,2023-06-17,22M14S,1334,13382634,231459,5638
tk0S7JNxnd8,HOW did he do that many?? 😳 #dudeperfect #shorts,2023-06-09,45S,45,32291999,1680254,1702
OdU_emI6KrE,Neighborhood Stereotypes,2023-06-03,11M41S,701,19737138,310304,7490
U69q07-7IgA,The World’s Highest Basketball Shot 🏀,2023-05-20,22S,22,10263421,531221,5789
R8LiwncUVnM,The NEW World’s Highest Basketball Shot,2023-05-20,17M42S,1062,10001403,381523,12894
T2fxrJ6ZmfY,Craziest Ways To Catch a Fish! (No Poles Allowed),2023-05-06,13M11S,791,11244474,209022,3547
t9rgimw2f6Q,Deliver a first round NFL Draft Pick? Bucket List: ACHIEVED. #ad,2023-05-02,55S,55,2718990,99871,314
_h5DdzUtrXk,That comeback was SPECIAL,2023-04-29,55S,55,27642660,843827,2139
ZYW2lWLpLuo,Pickleball Trick Shots,2023-04-15,11M18S,678,7350631,170622,12276
Ey_vGhau7ho,World's Strongest Dude,2023-04-01,13M51S,831,23180006,335534,7338
Y5tYxXd4kus,14 years later...feels like yesterday,2023-03-29,8S,8,33212570,1044357,6671
VTM0sa_loyY,FROM WAY DOWNTOWN!,2023-03-23,1M,60,4261180,168465,450
moIuur9GUws,World's Brightest Flashlight | OT38,2023-03-18,25M2S,1502,13323882,227953,15006
WIFyVPaL_kU,Which level took the longest?? 🤯,2023-03-18,39S,39,110930279,4066151,35000
V9YUfEyL0aI,tbh he made it farther than we thought he would,2023-03-03,36S,36,69031855,1716423,3021
zPlsnWq5X50,Hotel Stereotypes,2023-02-25,12M13S,733,27510909,383576,8929
pLlOkqBoZK4,Can We Outrun a Police Dog? | Animal Olympics,2023-02-11,14M50S,890,17273661,229555,3665
MlPAmRN-uwg,Well that escalated QUICKLY 😳🎱,2023-02-04,57S,57,59464456,2319894,18364
gvocDKs_Sno,Oreo Roll Roulette! 🤢,2023-01-27,58S,58,184318667,7294301,10601
z_lgjFAxP6c,Ultimate Mini Games Battle 3,2023-01-21,12M31S,751,24213331,271658,4705
W1cz1L5zDvM,Dude Perfect EXPOSED (Part 2) 🤫,2023-01-11,17S,17,38099935,2028439,18404
IYLcZooMLbQ,Cake Flip Challenge! 😳🎂 #shorts,2023-01-06,46S,46,30580204,1483435,5746
n_DtpY9wbGg,Average Dude vs. Luka Doncic (1-on-1),2022-12-31,22M19S,1339,21748198,510235,8692
ZyHm55m7t-4,Dude Perfect's $100 Million Theme Park,2022-12-17,23M15S,1395,15107797,357669,13866
_ZMMlr6vWm8,Deep Sea Fishing Battle 2,2022-12-03,13M39S,819,11390012,221841,4313
9GRueeQXL9w,2022 was a BLAST! 🚀 What was your favorite moment from this year?? #2022inShort #ad,2022-12-02,15S,15,4223953,132821,793
r1mhvegC6is,Thanksgiving Stereotypes,2022-11-19,11M3S,663,22262066,326401,7678
YXXlSG-du7c,Dude Perfect Goes to SPACE,2022-11-05,13M10S,790,43523429,1441037,54166
hF6X2ap_6Q8,Gun Game Airsoft Battle Royale,2022-10-22,14M15S,855,13458637,315325,6154
etV_nxVU6l8,Wedding Stereotypes,2022-10-08,11M16S,676,19001364,374942,11841
oW-ayP9BbHs,Stair Jump CHALLENGE,2022-10-01,56S,56,31215930,1713772,3505
_snnKw-EywM,Archery World Records,2022-09-24,7M51S,471,13153502,235250,4901
DK0xCH--t8k,Loser Gets Full Body Casted | OT 35,2022-09-10,21M3S,1263,15431029,287449,6120
ehPugxlo_oY,Ultimate Mini Games Battle 2,2022-08-27,12M23S,743,31724426,308540,5322
_YUc8tXDjxQ,Dude Perfect Domino Extravaganza,2022-08-13,10M22S,622,14240213,266603,8302
4oe-Cy_dIQk,Dude Perfect EXPOSED 🤫🤫🤫,2022-08-06,17S,17,65850271,2803814,26201
jcwaXQ2tGl8,It Just Keeps Getting Better 😂🏓,2022-08-02,28S,28,121394328,3094053,6516
TJc4HjMBpSM,Impossible Ping Pong Vase Challenge,2022-07-21,1M,60,29760082,1560897,3726
venrE8gdz30,Model Rocket Battle 3 | Dude Perfect,2022-07-02,10M38S,638,50437540,713050,16113
s1tEvufgEyU,Real Life Invisibility Shield | OT34,2022-06-18,15M24S,924,17265050,334255,10955
IlhYyVRklDI,That Ball Touched The CLOUDS 🏈☁️ #shorts,2022-06-15,42S,42,169997111,6103167,31121
7VzDrqjhcXs,RC Edition 2 | Dude Perfect,2022-06-04,8M27S,507,18977601,500094,7008
_CH8uu3L4D0,New Parent Stereotypes,2022-05-14,10M49S,649,33092390,476710,12094
pQuk3t2aeBo,Treasure Hunting Battle: Crystals,2022-04-30,10M54S,654,20591535,379953,6979
gmuAN_n3_tY,Water Balloon Roulette 🎈💦😬,2022-04-27,55S,55,17047388,646221,1672
DZcRaZ-nDeA,Ultimate Mini Games Battle,2022-04-16,9M34S,574,46534040,433533,5518
heIKaaamvdc,All Sports Golf with Bryson DeChambeau,2022-04-02,11M18S,678,18293542,408880,7013
GsLopdvhFpk,Unpredictable Trick Shots 2,2022-03-19,8M27S,507,31488330,549310,7562
UoVNtD-0kTI,Airplane Stereotypes,2022-03-05,9M44S,584,43907755,664164,16377
LDKDyn_D9pQ,Cup Trick Shots | Dude Perfect,2022-02-19,4M51S,291,17687105,496460,11563
CYdSF0tND4A,Cup Throwing Trick Shots are HARD #Shorts,2022-02-09,23S,23,22227473,892097,2155
Xixpb9qEDw0,World's Longest T-Shirt Launch | OT 33,2022-02-07,19M41S,1181,16960497,328373,26124
3QwpRXR-IUc,Snow Sniper Airsoft Battle Royale,2022-01-24,10M1S,601,23972398,541602,8972
4qjZH9T8jlE,Candle Blowing Challenge is INTENSE 🌬🕯,2022-01-13,51S,51,81317075,4880986,3277
YJljg4t-LGI,Exploding Christmas Presents | OT 32,2021-12-20,15M33S,933,13778060,285528,9146
6fBqGUaJ0tc,Whoever DESTROYS THEIR CAR MOST Wins | OT 31,2021-12-06,19M59S,1199,24363380,387386,29165
hj5Xv2L2X4M,Alaska Bucket List,2021-11-22,33M7S,1987,26729913,525952,14877
mt81k1z4VIw,Boomerang Trick Shots 2 | Dude Perfect,2021-11-08,7M46S,466,11290359,327810,5395
8XUDSIxQRU4,Build A Raft Battle,2021-10-25,13M28S,808,22219569,470699,26448
Flj-KI9fOoM,World's Smallest TV | OT 30,2021-10-11,19M42S,1182,17580876,346506,9447
t8JCJZM8tCw,Optical Illusion Trick Shots ft. Zach King,2021-09-27,8M3S,483,29426116,686132,9380
D7f04YOXQq8,Chainsaw Carving Competition | OT 29,2021-08-30,22M11S,1331,22226843,407334,83705
BTVMLRSsb3o,Submarine Minefield Battle,2021-08-23,12M44S,764,13537436,316039,5520
lHticm97HAI,Games With Consequences | Flight Simulator,2021-08-09,13M45S,825,7183232,225291,5108
RL42Yl4LS6c,Trying to Bench 405 lbs Underwater | OT 28,2021-07-26,19M46S,1186,27745007,531903,40439
y2TPOTlPU9M,Demolition Derby Battle,2021-07-12,13M10S,790,18966505,486189,10891
2EGuVKx_MXA,Cell Phone Stereotypes,2021-06-28,12M43S,763,45661746,744530,26029
Tl1ycnEFk3I,World's Hottest Hot Sauce | OT 27,2021-06-14,24M32S,1472,30389453,542738,22509
Df_hrHHcQ_g,Fastest Soapbox Car Wins,2021-05-31,11M57S,717,29744972,644631,16675
I4AgeDIrHGY,South Africa Bucket List,2021-05-17,31M39S,1899,36415234,811523,38734
_eIH4F-24M4,Pet Peeves (Official Music Video),2021-05-03,3M30S,210,18276105,497642,31820
PAgQHcKMOIk,World's Weirdest Item | OT 26,2021-04-19,26M18S,1578,30147925,559276,24688
Z8y05MbYm1Q,RC Helicopter Battle | Dude Perfect,2021-04-05,10M11S,611,15643620,414605,8797
8Mc6zZxBTLA,OUR WIVES JOIN THE SHOW | OT 25,2021-03-22,25M46S,1546,25698500,473451,36792
qUUloBe5vEo,Longest Dunk Wins,2021-03-08,9M9S,549,84191540,1126910,21336
n1dEqq2hepw,Dude Wars | OT 24,2021-02-22,25M56S,1556,33579214,563055,29847
cfZA6udrVUc,Toy Trick Shots | Dude Perfect,2021-02-08,4M57S,297,25941230,631629,18513
EsVPUpDyGec,Game Night Stereotypes,2021-01-25,9M41S,581,47956138,748984,27385
74ZSIJk2pcg,Flying RC Car,2021-01-11,9M17S,557,34705049,651710,14319
1SIX0HTH-50,Worst Dude Perfect Videos of All Time | OT 23,2020-12-28,30M23S,1823,42054821,606632,43140
LP02BulYw3g,Gingerbread House Scandal | OT 22,2020-12-21,24M56S,1496,34083150,504530,22402
9X_nbT89X-c,Pocket Flame Thrower | OT 21,2020-12-14,25M55S,1555,37038413,585295,24187
ETnepJ1zgKQ,It Finally Happened | OT 20,2020-12-07,26M13S,1573,29716042,584777,35654
JaAm-0BBbmw,Dude Perfect Corn Maze | Nerf Battle,2020-11-23,5M43S,343,16958216,421292,12266
xBe-36v3lQo,Go Kart Paintball Battle,2020-11-09,14M19S,859,22924550,508722,16425
mfTnowfhW2c,Halloween Stereotypes,2020-10-26,10M47S,647,58665189,873797,38985
4CqwkiaXEOQ,GIANT Pumpkin Carving Contest | OT 19,2020-10-19,25M49S,1549,37857131,634416,21924
dycv5jdhx88,Giant Grouper Fishing Battle,2020-10-05,10M47S,647,22689225,507210,17819
6NMvQU9xNbo,WORST PUNISHMENT YET | OT 18,2020-09-21,28M49S,1729,50612883,1001814,42479
OFBsuEGhQkI,Concrete Shoes Football Battle,2020-09-07,7M50S,470,24243817,510894,14107
AV3P55Xu_Ow,Airsoft Battle Royale 3,2020-08-31,10M53S,653,23798564,661417,25830
n4fXmZTVdZg,Real Life Robot Dog | OT 17,2020-08-24,28M1S,1681,45712979,773677,28326
MqePxS6iyvA,Swimming Pool Stereotypes,2020-08-17,8M21S,501,77472875,1096212,36065
0ADQauuOJto,Impossible Ping Pong Trick Shots,2020-08-03,6M59S,419,33994498,828408,21029
dudw5JiklKc,Card Throwing Trick Shots 2,2020-07-20,5M19S,319,27624397,785745,25481
5-3ouosW9IA,Farthest Throw from Giant Tower Wins,2020-07-06,6M47S,407,37280701,859227,20557
aCz-1tcdjN8,Unpredictable Trick Shots | Dude Perfect,2020-06-22,4M51S,291,61610989,1226593,46039
luR70V5gdS0,All Sports Golf Battle 4,2020-06-10,13M47S,827,44668723,796649,26549
BKKr55WPrrM,Worst Haircut Ever | OT 16,2020-05-25,24M25S,1465,42254576,635045,33410
lbK24iwrYbY,Dude Perfect: Backstage Pass | Official Documentary,2020-05-11,1H24M31S,5071,53535113,713137,42206
eZUKSxE2UZg,Quarantine Stereotypes,2020-04-27,8M41S,521,74196588,1143406,58482
BYQAFbq2mxE,Eating Dog Food Like Cereal 🤢 | OT 15,2020-04-20,21M17S,1277,26052097,481164,39283
YYBqfzDPOWU,Blindfolded Archery Battle,2020-04-06,7M18S,438,22460592,419204,12897
aV0BK3QCk0g,Giant Foam Pit | Dude Perfect,2020-03-23,7M58S,478,30062332,549145,19125
xG61CapseLU,Top 10 Candy List EVER | OT 14,2020-03-09,26M10S,1570,52963513,615689,53352
v_BgzDHGav0,Airsoft Battle Royale 2,2020-02-24,13M34S,814,58496207,1088409,34855
hfzSedylBog,Water Bottle Flip 3 | Dude Perfect,2020-02-10,5M12S,312,50011806,999750,24928
4MMdJHYHoiA,Lightsaber Accident | OT 13,2020-01-27,27M36S,1656,50829890,768394,46900
gqdwyXC4Jwk,Aircraft Carrier Bucket List,2020-01-13,20M38S,1238,59657882,1189000,45251
ItMpKIxXwlw,Hockey Trick Shots,2019-12-30,9M24S,564,18322754,441733,17331
GSTyIwVqO6Q,Best of Dude Perfect | 2019,2019-12-16,6M8S,368,9184927,350622,8138
XYX-IZa3rNs,All Sports Bowling Battle,2019-12-02,13M5S,785,33924264,511435,14025
Iw8qP0GdZ_0,Nerf Trick Shots,2019-11-18,4M3S,243,28767333,691635,14309
3C0btIJjrW8,GIANT Waterslide Battle,2019-11-04,7M49S,469,46806364,789549,15046
O5Sduwj9G98,We Broke The Budget | OT 12,2019-10-28,23M28S,1408,68191686,1794694,159678
4xGFo_lYUrs,Unexpected Trick Shots,2019-10-21,4M52S,292,52340471,1016938,27040
bIDKhZ_4jLQ,All Sports Trick Shots | Dude Perfect,2019-10-07,6M48S,408,29098451,600795,23195
aDrVrz76z1A,Camping Stereotypes,2019-09-23,7M59S,479,64168539,869638,34412
j7ZXF7jbXbY,Helicopter Battleship Battle | Dude Perfect,2019-09-09,10M14S,614,20557482,402171,11330
j9I7jt4Y_-A,World's Weirdest Pillow | OT 11,2019-08-26,20M46S,1246,46451841,579945,21651
